layer,token,train_score,validation_score
0,-1,0.466403162055336,0.21052631578947367
0,-2,0.466403162055336,0.21052631578947367
0,-3,0.466403162055336,0.21052631578947367
0,-4,0.466403162055336,0.21052631578947367
0,-5,0.466403162055336,0.21052631578947367
1,-1,0.466403162055336,0.21052631578947367
1,-2,0.4901185770750988,0.6578947368421053
1,-3,0.4901185770750988,0.6578947368421053
1,-4,0.466403162055336,0.21052631578947367
1,-5,0.4901185770750988,0.6578947368421053
2,-1,0.466403162055336,0.21052631578947367
2,-2,0.466403162055336,0.21052631578947367
2,-3,0.466403162055336,0.21052631578947367
2,-4,0.466403162055336,0.21052631578947367
2,-5,0.5889328063241107,0.39473684210526316
3,-1,0.466403162055336,0.21052631578947367
3,-2,0.466403162055336,0.21052631578947367
3,-3,0.466403162055336,0.21052631578947367
3,-4,0.466403162055336,0.21052631578947367
3,-5,0.4901185770750988,0.6578947368421053
4,-1,0.043478260869565216,0.13157894736842105
4,-2,0.8102766798418972,0.7894736842105263
4,-3,0.7984189723320159,0.7105263157894737
4,-4,0.4901185770750988,0.6578947368421053
4,-5,0.466403162055336,0.21052631578947367
5,-1,0.466403162055336,0.21052631578947367
5,-2,0.466403162055336,0.21052631578947367
5,-3,0.466403162055336,0.21052631578947367
5,-4,0.5573122529644269,0.21052631578947367
5,-5,0.4901185770750988,0.6578947368421053
6,-1,0.4901185770750988,0.6578947368421053
6,-2,0.466403162055336,0.21052631578947367
6,-3,0.466403162055336,0.21052631578947367
6,-4,0.48616600790513836,0.21052631578947367
6,-5,0.8142292490118577,0.5
7,-1,0.4901185770750988,0.6578947368421053
7,-2,0.857707509881423,0.6052631578947368
7,-3,0.4901185770750988,0.6578947368421053
7,-4,0.466403162055336,0.21052631578947367
7,-5,0.8379446640316206,0.5526315789473685
8,-1,0.466403162055336,0.21052631578947367
8,-2,0.043478260869565216,0.13157894736842105
8,-3,0.4901185770750988,0.6578947368421053
8,-4,0.466403162055336,0.21052631578947367
8,-5,0.849802371541502,0.6578947368421053
9,-1,0.4782608695652174,0.21052631578947367
9,-2,0.466403162055336,0.21052631578947367
9,-3,0.4782608695652174,0.23684210526315788
9,-4,0.8260869565217391,0.7631578947368421
9,-5,0.8656126482213439,0.7368421052631579
10,-1,0.466403162055336,0.21052631578947367
10,-2,0.4901185770750988,0.6578947368421053
10,-3,0.841897233201581,0.6578947368421053
10,-4,0.466403162055336,0.21052631578947367
10,-5,0.7391304347826086,0.5263157894736842
11,-1,0.466403162055336,0.21052631578947367
11,-2,0.4901185770750988,0.6578947368421053
11,-3,0.8853754940711462,0.7368421052631579
11,-4,0.4901185770750988,0.6578947368421053
11,-5,0.4901185770750988,0.6578947368421053
12,-1,0.4901185770750988,0.6578947368421053
12,-2,0.5217391304347826,0.21052631578947367
12,-3,0.841897233201581,0.7368421052631579
12,-4,0.6007905138339921,0.3157894736842105
12,-5,0.5612648221343873,0.6842105263157895
13,-1,0.8853754940711462,0.7368421052631579
13,-2,0.4901185770750988,0.6578947368421053
13,-3,0.7905138339920948,0.2631578947368421
13,-4,0.9051383399209486,0.7631578947368421
13,-5,0.9130434782608695,0.7631578947368421
14,-1,0.9169960474308301,0.7631578947368421
14,-2,0.5889328063241107,0.6842105263157895
14,-3,0.9169960474308301,0.7894736842105263
14,-4,0.8063241106719368,0.7368421052631579
14,-5,0.5098814229249012,0.631578947368421
15,-1,0.9288537549407114,0.7631578947368421
15,-2,0.549407114624506,0.21052631578947367
15,-3,0.9011857707509882,0.7631578947368421
15,-4,0.83399209486166,0.7631578947368421
15,-5,0.9169960474308301,0.7368421052631579
16,-1,0.9209486166007905,0.8157894736842105
16,-2,0.4743083003952569,0.6578947368421053
16,-3,0.9525691699604744,0.7368421052631579
16,-4,0.9525691699604744,0.7894736842105263
16,-5,0.8537549407114624,0.6052631578947368
17,-1,0.9209486166007905,0.8421052631578947
17,-2,0.9051383399209486,0.6578947368421053
17,-3,0.8853754940711462,0.7368421052631579
17,-4,0.924901185770751,0.8157894736842105
17,-5,0.841897233201581,0.6842105263157895
18,-1,0.9565217391304348,0.7368421052631579
18,-2,0.849802371541502,0.6842105263157895
18,-3,0.9367588932806324,0.8157894736842105
18,-4,0.6442687747035574,0.2631578947368421
18,-5,0.9209486166007905,0.7368421052631579
19,-1,0.9446640316205533,0.7368421052631579
19,-2,0.8656126482213439,0.7368421052631579
19,-3,0.9723320158102767,0.8421052631578947
19,-4,0.9011857707509882,0.7105263157894737
19,-5,0.9288537549407114,0.7368421052631579
20,-1,0.9486166007905138,0.8157894736842105
20,-2,0.9169960474308301,0.7894736842105263
20,-3,0.8893280632411067,0.7894736842105263
20,-4,0.9169960474308301,0.8157894736842105
20,-5,0.8774703557312253,0.7105263157894737
21,-1,0.849802371541502,0.7105263157894737
21,-2,0.8735177865612648,0.7368421052631579
21,-3,0.8300395256916996,0.7105263157894737
21,-4,0.9090909090909091,0.8157894736842105
21,-5,0.8300395256916996,0.6842105263157895
22,-1,0.8893280632411067,0.8421052631578947
22,-2,0.466403162055336,0.21052631578947367
22,-3,0.9486166007905138,0.8421052631578947
22,-4,0.9011857707509882,0.7894736842105263
22,-5,0.6877470355731226,0.6578947368421053
23,-1,0.9051383399209486,0.7368421052631579
23,-2,0.8616600790513834,0.6842105263157895
23,-3,0.9525691699604744,0.8157894736842105
23,-4,0.8181818181818182,0.5263157894736842
23,-5,0.4901185770750988,0.6052631578947368
24,-1,0.9011857707509882,0.7368421052631579
24,-2,0.924901185770751,0.7368421052631579
24,-3,0.9486166007905138,0.8421052631578947
24,-4,0.6798418972332015,0.7105263157894737
24,-5,0.8972332015810277,0.7368421052631579
25,-1,0.924901185770751,0.8157894736842105
25,-2,0.924901185770751,0.7105263157894737
25,-3,0.9683794466403162,0.8421052631578947
25,-4,0.8458498023715415,0.6842105263157895
25,-5,0.7233201581027668,0.6052631578947368
26,-1,0.8972332015810277,0.8157894736842105
26,-2,0.5177865612648221,0.6578947368421053
26,-3,0.9604743083003953,0.8947368421052632
26,-4,0.8774703557312253,0.6578947368421053
26,-5,0.9011857707509882,0.6052631578947368
27,-1,0.8893280632411067,0.8157894736842105
27,-2,0.5375494071146245,0.631578947368421
27,-3,0.9565217391304348,0.8157894736842105
27,-4,0.8814229249011858,0.7105263157894737
27,-5,0.9486166007905138,0.7368421052631579
28,-1,0.8932806324110671,0.7894736842105263
28,-2,0.6561264822134387,0.631578947368421
28,-3,0.9881422924901185,0.8421052631578947
28,-4,0.9288537549407114,0.7631578947368421
28,-5,0.5573122529644269,0.6578947368421053
29,-1,0.924901185770751,0.8157894736842105
29,-2,0.7549407114624506,0.6842105263157895
29,-3,0.9960474308300395,0.8157894736842105
29,-4,0.8221343873517787,0.6052631578947368
29,-5,0.9565217391304348,0.7368421052631579
30,-1,0.8932806324110671,0.8421052631578947
30,-2,0.782608695652174,0.3157894736842105
30,-3,0.9762845849802372,0.7631578947368421
30,-4,0.9604743083003953,0.7368421052631579
30,-5,0.9367588932806324,0.7368421052631579
31,-1,0.9130434782608695,0.8421052631578947
31,-2,0.932806324110672,0.7368421052631579
31,-3,0.9960474308300395,0.8157894736842105
31,-4,0.9762845849802372,0.7105263157894737
31,-5,0.9683794466403162,0.6578947368421053
32,-1,0.9090909090909091,0.8157894736842105
32,-2,0.8537549407114624,0.631578947368421
32,-3,0.9802371541501976,0.7894736842105263
32,-4,0.841897233201581,0.7105263157894737
32,-5,0.9960474308300395,0.6842105263157895
